               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10615,            0.075074,            0.040919,          0.00095533,            0.063175,           0.0005338,          0.00012211,            0.084439,            0.039213,            0.037165,             0.00045,             0.00045,             0.09595
                   1,            0.091767,            0.089059,            0.038017,           0.0072701,           0.0032362,           0.0011323,          0.00024542,            0.083372,            0.038094,            0.036303,           0.0009098,           0.0009098,             0.09181
                   2,            0.080328,            0.083661,            0.035845,            0.080991,             0.29392,             0.05998,            0.013278,            0.061995,            0.041195,            0.030701,           0.0013688,           0.0013688,            0.087669
                   3,            0.074738,            0.079142,            0.034407,             0.22814,             0.28033,             0.18525,            0.041466,            0.057175,            0.044195,            0.027486,           0.0018263,           0.0018263,            0.083526
                   4,            0.067544,            0.061844,             0.03162,             0.24985,             0.50518,             0.31463,             0.10276,            0.051856,            0.041091,            0.024021,           0.0022819,           0.0022819,            0.079382
                   5,            0.067633,            0.064759,            0.029279,             0.33888,             0.51932,             0.35646,             0.10574,            0.054015,            0.035621,            0.020051,           0.0027348,           0.0027348,            0.075235
                   6,            0.064452,            0.057769,            0.025251,             0.30903,             0.66298,             0.39308,             0.12646,            0.050289,             0.03363,             0.01644,           0.0031844,           0.0031844,            0.071084
                   7,            0.060858,            0.058804,            0.022408,             0.30444,             0.70404,             0.42501,             0.12449,            0.050855,            0.033054,             0.01457,           0.0036302,           0.0036302,             0.06693
                   8,            0.063265,            0.069207,             0.02177,              0.3856,             0.74075,             0.56054,             0.21238,            0.043161,            0.032162,            0.014289,           0.0040716,           0.0040716,            0.062772
                   9,            0.060961,            0.062814,            0.020627,             0.42064,             0.51427,             0.44293,             0.17109,            0.050581,            0.034016,            0.014458,            0.004508,            0.004508,            0.058608
                  10,            0.057269,            0.061396,            0.018617,             0.47402,             0.56119,             0.43836,             0.16982,             0.04979,            0.031349,             0.01352,           0.0049388,           0.0049388,            0.054439
                  11,             0.05927,            0.065844,            0.018955,             0.42367,             0.73448,              0.5248,              0.2067,            0.050294,            0.027738,             0.01359,           0.0053634,           0.0053634,            0.050263
                  12,            0.057118,            0.047194,             0.01629,             0.60094,             0.70082,             0.69112,             0.32142,            0.041094,            0.029515,            0.011527,           0.0057813,           0.0057813,            0.046081
                  13,            0.057092,             0.05982,            0.017356,             0.48144,             0.63769,             0.54326,             0.21815,            0.045672,            0.030717,            0.011879,            0.006192,            0.006192,            0.041892
                  14,            0.058913,            0.058783,            0.016996,             0.54083,              0.6059,             0.60074,             0.24457,            0.050483,            0.026312,            0.010746,           0.0065949,           0.0065949,            0.037695
                  15,            0.053175,            0.047348,            0.015657,             0.62068,             0.67453,              0.6852,             0.33706,             0.04262,             0.02675,            0.010767,           0.0069895,           0.0069895,             0.03349
                  16,            0.049046,            0.052017,            0.015457,             0.54724,             0.61122,             0.60684,             0.28917,            0.043035,            0.025461,            0.010794,           0.0073753,           0.0073753,            0.029275
                  17,            0.051971,             0.04794,             0.01447,             0.65855,             0.72981,             0.75777,             0.39694,            0.039268,            0.024182,            0.010684,           0.0077518,           0.0077518,            0.025052
                  18,            0.048008,            0.048236,            0.013858,             0.62211,             0.66179,              0.6517,             0.33373,            0.040803,            0.025198,             0.01059,           0.0081184,           0.0081184,            0.020818
                  19,              0.0496,            0.053165,            0.014249,             0.69517,              0.6825,             0.74174,             0.35861,            0.038459,            0.023929,           0.0099062,           0.0084749,           0.0084749,            0.016575
                  20,            0.048388,            0.040075,            0.013737,             0.76931,             0.68821,             0.77055,             0.37828,            0.037839,            0.023809,           0.0094907,           0.0088207,           0.0088207,            0.012321
                  21,            0.049542,            0.046159,            0.014014,             0.67022,              0.6574,             0.71175,             0.36192,            0.039799,            0.023884,            0.010005,           0.0090557,           0.0090557,           0.0090557
                  22,             0.04533,            0.041101,            0.013904,             0.73921,             0.77469,             0.78979,             0.38924,            0.036791,            0.024188,             0.01061,           0.0090557,           0.0090557,           0.0090557
                  23,            0.045762,            0.055245,            0.013906,             0.76544,             0.77766,             0.81266,             0.45171,            0.033989,            0.023663,           0.0097889,           0.0089673,           0.0089673,           0.0089673
                  24,            0.043968,            0.051629,            0.012998,             0.69404,             0.77683,              0.7742,             0.43684,            0.034636,            0.023274,            0.010141,           0.0088755,           0.0088755,           0.0088755
                  25,            0.040282,            0.052838,            0.012986,             0.69903,             0.68848,             0.73966,             0.39355,            0.034484,            0.024996,            0.011865,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038661,            0.048224,            0.012556,             0.61406,             0.78059,             0.74604,             0.45256,            0.031447,            0.023524,            0.014699,            0.008682,            0.008682,            0.008682
                  27,            0.040867,            0.047931,            0.012122,             0.79122,             0.74986,             0.79656,              0.4743,             0.03191,            0.023567,             0.01084,           0.0085805,           0.0085805,           0.0085805
                  28,            0.037687,            0.041424,            0.012938,             0.73985,             0.76828,             0.78132,              0.4678,            0.031567,            0.023442,            0.011313,           0.0084759,           0.0084759,           0.0084759
                  29,            0.037265,            0.036316,            0.012696,             0.70149,             0.79458,             0.80019,             0.49364,            0.030264,            0.022946,            0.011833,           0.0083684,           0.0083684,           0.0083684
                  30,            0.033436,            0.041909,            0.011496,             0.80931,             0.74263,             0.82711,             0.50032,            0.029799,            0.024204,            0.010176,           0.0082581,           0.0082581,           0.0082581
                  31,            0.034211,            0.037798,            0.013614,             0.74211,             0.70662,             0.74549,             0.47811,            0.030443,            0.024553,            0.012642,            0.008145,            0.008145,            0.008145
                  32,            0.035056,            0.051415,            0.013262,             0.79913,             0.73569,             0.79462,             0.49972,            0.030376,            0.022913,            0.010076,           0.0080294,           0.0080294,           0.0080294
                  33,            0.034566,            0.046919,            0.012637,             0.70568,             0.83102,             0.80604,             0.52884,            0.029824,            0.022206,           0.0097859,           0.0079112,           0.0079112,           0.0079112
                  34,            0.033376,            0.037216,            0.010712,             0.79664,             0.76787,             0.82806,             0.48757,            0.030737,            0.022395,           0.0089991,           0.0077907,           0.0077907,           0.0077907
                  35,            0.034071,            0.046481,            0.012048,             0.74552,             0.82428,             0.82453,              0.5245,            0.029654,            0.021046,            0.011354,           0.0076679,           0.0076679,           0.0076679
                  36,            0.034825,            0.044784,            0.010871,             0.81823,             0.77675,             0.84146,              0.5407,            0.027299,            0.022132,            0.010564,            0.007543,            0.007543,            0.007543
                  37,            0.034421,            0.043985,            0.010694,             0.76202,             0.78569,             0.80096,             0.52003,            0.028303,             0.02184,            0.010577,            0.007416,            0.007416,            0.007416
                  38,            0.030643,             0.04245,            0.011333,             0.78758,             0.80231,             0.84131,             0.55603,            0.026322,            0.020588,            0.011132,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032319,            0.047544,            0.011333,             0.79377,             0.79517,             0.83783,             0.50789,            0.027942,             0.02167,           0.0087951,           0.0071566,           0.0071566,           0.0071566
                  40,            0.033697,            0.045356,            0.010153,             0.70128,              0.8209,             0.78695,             0.51833,             0.02689,            0.022752,            0.010996,           0.0070243,           0.0070243,           0.0070243
                  41,             0.03091,            0.036874,            0.008956,             0.80954,             0.83104,             0.84173,             0.55531,            0.026864,            0.020804,           0.0093036,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031777,            0.039986,            0.009691,             0.82366,             0.76695,             0.82629,             0.50174,            0.028764,            0.021847,           0.0094262,           0.0067555,           0.0067555,           0.0067555
                  43,            0.031202,            0.046468,            0.009531,             0.78791,             0.81108,             0.82757,             0.55296,            0.025797,            0.020898,           0.0085435,           0.0066191,           0.0066191,           0.0066191
                  44,            0.029844,            0.043707,            0.010858,             0.73961,              0.8156,             0.81476,             0.54744,             0.02675,            0.021737,           0.0099956,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030023,            0.051927,           0.0099907,             0.77426,             0.74946,             0.82288,             0.55243,            0.026067,            0.021018,            0.011292,           0.0063432,           0.0063432,           0.0063432
                  46,            0.028067,            0.045832,           0.0095028,             0.74866,             0.78342,             0.80128,              0.5382,            0.026982,            0.021675,            0.011947,            0.006204,            0.006204,            0.006204
                  47,            0.028797,            0.040808,           0.0094902,               0.761,             0.81814,             0.83317,             0.55659,            0.027299,             0.02108,           0.0092096,            0.006064,            0.006064,            0.006064
                  48,            0.028268,            0.034164,           0.0083207,             0.80067,             0.82059,              0.8433,             0.56726,            0.026346,            0.020931,           0.0090021,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029938,            0.043352,           0.0096677,             0.78616,              0.7914,             0.84545,             0.56219,            0.026965,             0.02093,           0.0086253,           0.0057826,           0.0057826,           0.0057826
                  50,            0.029511,            0.044103,           0.0085562,             0.83484,              0.8126,             0.86937,             0.59707,            0.024749,             0.02048,           0.0077291,           0.0056413,           0.0056413,           0.0056413
                  51,            0.027085,            0.042598,           0.0082913,             0.79554,             0.84715,             0.85845,             0.58839,            0.025395,            0.020729,            0.008252,              0.0055,              0.0055,              0.0055
                  52,            0.027785,             0.04047,           0.0086946,             0.79786,             0.81616,             0.85396,             0.56772,            0.025872,            0.020492,           0.0083202,           0.0053587,           0.0053587,           0.0053587
                  53,            0.027642,            0.039308,           0.0091231,             0.77457,              0.8456,             0.85388,             0.58248,            0.024964,            0.020804,           0.0074674,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027058,            0.034859,           0.0095419,             0.81498,             0.81367,             0.85665,             0.59461,            0.024304,            0.020266,           0.0082966,           0.0050765,           0.0050765,           0.0050765
                  55,            0.026772,            0.042259,           0.0085775,             0.78122,             0.82264,             0.85731,             0.59779,            0.024283,            0.020648,           0.0080995,            0.004936,            0.004936,            0.004936
                  56,            0.027351,            0.045141,           0.0092731,             0.78252,             0.83185,             0.84802,             0.57526,            0.024106,            0.020048,           0.0085648,            0.004796,            0.004796,            0.004796
                  57,            0.027192,             0.03431,           0.0086469,             0.76141,             0.85263,             0.85283,             0.59337,            0.023974,            0.020012,           0.0083412,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027166,            0.040161,           0.0084208,             0.82501,             0.82334,             0.86714,             0.60144,            0.024245,             0.02017,           0.0073456,           0.0045184,           0.0045184,           0.0045184
                  59,            0.026014,            0.035064,           0.0072947,             0.79211,             0.84054,              0.8571,             0.59807,            0.024484,            0.020304,           0.0080734,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025174,            0.032977,           0.0085118,             0.79211,             0.83014,             0.85091,              0.5835,             0.02497,            0.021052,           0.0077342,           0.0042445,           0.0042445,           0.0042445
                  61,            0.024827,            0.037888,           0.0074873,             0.77656,             0.83244,             0.83518,             0.57609,            0.024048,            0.020311,           0.0095127,           0.0041094,           0.0041094,           0.0041094
                  62,            0.025667,            0.040367,           0.0079271,             0.79212,             0.82728,             0.85244,             0.60424,            0.023874,            0.020073,           0.0081007,           0.0039757,           0.0039757,           0.0039757
                  63,             0.02501,             0.03098,           0.0068797,              0.7948,             0.82867,             0.85916,             0.60328,            0.023618,            0.019557,           0.0087569,           0.0038434,           0.0038434,           0.0038434
                  64,            0.025695,            0.040492,           0.0061449,             0.79238,             0.82226,             0.84864,             0.59935,            0.023583,             0.01981,           0.0085259,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025333,            0.046705,           0.0073003,             0.80465,             0.82908,             0.85469,             0.60582,            0.023307,            0.019322,           0.0081361,            0.003584,            0.003584,            0.003584
                  66,            0.025342,            0.042526,           0.0077475,             0.84987,             0.78558,             0.87212,             0.61099,            0.023234,            0.019028,           0.0078136,            0.003457,            0.003457,            0.003457
                  67,             0.02522,            0.038786,           0.0061335,             0.82865,             0.81856,              0.8695,              0.6163,            0.023168,            0.019361,           0.0077862,           0.0033321,           0.0033321,           0.0033321
                  68,            0.024958,            0.042318,           0.0076195,             0.78962,             0.83398,             0.86676,             0.61679,            0.023423,            0.019789,           0.0080489,           0.0032093,           0.0032093,           0.0032093
                  69,            0.023976,            0.039766,           0.0077524,             0.86313,             0.78604,             0.88096,             0.61894,            0.023216,             0.01931,           0.0074023,           0.0030888,           0.0030888,           0.0030888
                  70,            0.024321,            0.031932,           0.0069302,             0.85077,             0.79305,              0.8798,             0.61855,            0.022826,            0.019312,           0.0078399,           0.0029706,           0.0029706,           0.0029706
                  71,            0.023447,            0.035735,           0.0065402,              0.8037,             0.81494,             0.87325,             0.61723,            0.022814,             0.01966,           0.0082596,            0.002855,            0.002855,            0.002855
                  72,            0.023141,            0.032905,           0.0061436,             0.81731,             0.78901,             0.87184,             0.61997,             0.02291,            0.019899,           0.0079638,           0.0027419,           0.0027419,           0.0027419
                  73,            0.023867,            0.041121,           0.0062213,             0.78346,             0.82327,             0.86024,             0.60663,            0.023124,             0.02001,           0.0084913,           0.0026316,           0.0026316,           0.0026316
                  74,              0.0235,            0.033822,           0.0062647,             0.75601,             0.85121,             0.85323,               0.599,            0.023503,            0.019643,           0.0092846,           0.0025241,           0.0025241,           0.0025241
                  75,             0.02387,            0.030667,           0.0052892,              0.8136,             0.79893,              0.8532,             0.60438,            0.022518,            0.019549,           0.0085842,           0.0024195,           0.0024195,           0.0024195
                  76,            0.023219,            0.035786,           0.0079591,             0.76414,             0.85587,             0.86718,             0.61837,            0.022227,            0.019355,           0.0087927,            0.002318,            0.002318,            0.002318
                  77,            0.022807,            0.027349,           0.0058939,             0.78439,             0.85361,             0.87323,             0.62731,            0.022221,            0.019623,           0.0078408,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023434,            0.034853,           0.0061757,             0.79784,             0.82864,             0.85873,             0.61749,            0.022012,            0.019921,           0.0085515,           0.0021245,           0.0021245,           0.0021245
                  79,            0.022601,            0.031544,           0.0055278,             0.82616,             0.81613,             0.86146,             0.61636,             0.02226,            0.019783,           0.0088956,           0.0020327,           0.0020327,           0.0020327
                  80,             0.02343,            0.033867,           0.0069134,             0.77629,             0.89208,             0.87422,             0.62206,            0.022548,            0.019806,           0.0075536,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023017,            0.034561,           0.0060873,             0.82309,             0.82295,              0.8653,             0.61178,            0.022773,            0.020102,           0.0081119,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02306,             0.03278,           0.0062727,             0.83268,             0.81627,             0.87062,             0.61585,            0.022241,            0.020008,           0.0079481,           0.0017781,           0.0017781,           0.0017781
                  83,            0.022545,            0.034744,           0.0057253,             0.83446,              0.8054,             0.86363,              0.6178,            0.022163,            0.020157,             0.00799,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022031,            0.033223,           0.0055897,             0.80616,              0.8331,             0.86409,             0.61398,            0.022697,            0.020234,           0.0077448,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022921,            0.035849,           0.0059676,             0.81614,              0.8331,             0.86047,             0.61197,            0.022673,            0.020108,           0.0082639,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022739,            0.037847,            0.005849,             0.78171,             0.84769,             0.85681,              0.6058,            0.022745,            0.020003,           0.0089692,           0.0014905,           0.0014905,           0.0014905
                  87,            0.021925,            0.036683,           0.0058649,             0.84281,             0.78807,             0.85671,             0.60966,            0.022446,             0.01993,           0.0096961,           0.0014283,           0.0014283,           0.0014283
                  88,              0.0227,            0.035672,           0.0052073,             0.81656,             0.83126,             0.86062,             0.60769,            0.022727,            0.020213,           0.0083682,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022574,            0.028459,           0.0043373,             0.81429,             0.83129,             0.86078,             0.61309,             0.02266,             0.02022,            0.008159,            0.001316,            0.001316,            0.001316
                  90,            0.022654,            0.043679,           0.0049432,             0.82761,              0.8184,               0.862,             0.61118,             0.02265,                0.02,           0.0086507,            0.001266,            0.001266,            0.001266
                  91,            0.022298,            0.024918,           0.0056575,             0.80123,             0.82237,             0.85667,             0.60847,             0.02266,            0.019883,            0.010136,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021978,            0.030911,           0.0060208,             0.82153,             0.85006,             0.86211,             0.61591,            0.022527,            0.019892,           0.0084672,           0.0011787,           0.0011787,           0.0011787
                  93,            0.022587,            0.032027,           0.0051855,              0.8217,             0.85713,             0.86658,             0.61675,            0.022339,            0.019729,           0.0084929,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022105,            0.032164,           0.0073464,             0.81796,             0.84308,             0.85514,             0.61045,            0.022704,             0.01997,           0.0086117,           0.0011084,           0.0011084,           0.0011084
                  95,             0.02302,            0.039237,           0.0070899,             0.80085,             0.85362,             0.85699,             0.61625,            0.022566,            0.019943,            0.008749,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021213,            0.030313,           0.0053852,             0.81426,             0.84312,              0.8605,             0.61957,            0.022672,            0.020099,           0.0084195,           0.0010554,           0.0010554,           0.0010554
                  97,            0.022672,            0.033603,           0.0052817,              0.8093,             0.84191,             0.85879,             0.61079,            0.022504,             0.02012,           0.0086996,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022427,            0.030321,           0.0052295,             0.78246,             0.88464,             0.86323,             0.61191,            0.022779,            0.020073,           0.0082841,             0.00102,             0.00102,             0.00102
                  99,            0.022469,            0.035803,           0.0061834,             0.80697,                0.84,             0.86087,             0.61135,            0.022587,            0.020019,           0.0083436,           0.0010089,           0.0010089,           0.0010089
